url,election_id,id,office,name
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=156,156,1419170,ASSEMBLY 01,"BETANCOURT, ELIZABETH"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=156,156,1419120,ASSEMBLY 01,"DAHLE, MEGAN"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=156,156,1419427,ASSEMBLY 01,"JONES, PATRICK HENRY"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=156,156,1419260,ASSEMBLY 01,"RICKARD, LANE GARRETT"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=156,156,,ASSEMBLY 01,"TURNER, JOSEPH ALLEN"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1257028,GOVERNOR,"BLY-CHESTER, CHERYL A."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1256380,GOVERNOR,"BONHACH, HEATHER PETERS"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1004150,GOVERNOR,"BUSTAMANTE, CRUZ M."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1237501,GOVERNOR,"CAMEJO, PETER MIGUEL"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1256804,GOVERNOR,"FLYNT, LARRY"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1257222,GOVERNOR,"GRUENER, GARRETT"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1256558,GOVERNOR,"HUFFINGTON, ARIANNA"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1256547,GOVERNOR,"JACKSON, MICHAEL A."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1256789,GOVERNOR,"KOREVAAR, ERIC J."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1257018,GOVERNOR,"MACALUSO, FRANK A."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1001573,GOVERNOR,"MC CLINTOCK, THOMAS"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1256983,GOVERNOR,"SCHWARZENEGGER, ARNOLD"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1257209,GOVERNOR,"SIMMONS, RICHARD J."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1233558,GOVERNOR,"SIMON JR., WILLIAM E."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,1257006,GOVERNOR,"UEBERROTH, PETER"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,"ADAM, IRIS"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,"ADAMS, BROOKE N."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,ALEX - ST. JAMES
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,"ANDERSON, DOUGLAS L."
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,ANGELYNE
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,"ARIF, MOHAMMAD"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,"BADIOZAMANI, BADI"
https://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=14,14,,GOVERNOR,"BAJWA, VIKRAMJIT S."
